pathway,precursors
map00902,C00341
map00909,C00448
map00904,C00353
map00906,C00353;C00448
map00905,C01789
map00981,C00187;C00448
map00908,C00235
map01059,C00083;C00251;C00082;C21320;C00636
map01053,C00251;C02637
map00940,C00079;C00082;C00315
map00941,C00540;C00223
map00944,C01477;C05903
map00942,C05904;C05905;C05908
map00943,C09762;C00509
map00945,C00540;C00223
map00901,C00078;C01852
map00403,C00353;C03506
map00950,C00082;C00811
map00960,C00134;C00253;C00047;C00079
map00965,C00082
map00966,C00073;C00079;C00078;C00082;C00183;C00123;C00407
map00402,C03506
map00996,C01054;C00187;C00406;C00108;C03470;C00423
map00999,C06098;C01054;C00083;C00073;C02637;C03506;C21601;C00423;C00223;C00179;C00406;C00590
