,compound,precursor
5,C01460,C01477
6,C04443,C05903
7,C05623,C05903
10,C00616,C05903
11,C01155,C05903
12,C01156,C05903
13,C03897,C05903
14,C01265,C05903
15,C04444,C05903
16,C04024,C01477
17,C01470,C01477
18,C04608,C01477
19,C04293,C01477
20,C03951,C01477
22,C03515,C01477
23,C01714,C01477
24,C04199,C01477
26,C04858,C01477
27,C05622,C01477
28,C05625,C05903
29,C12249,C05903
30,C12638,C05903
31,C12634,C05903
32,C12635,C05903
33,C12636,C05903
34,C10098,C05903
36,C12626,C05903
37,C03898,C05903
38,C10175,C05903
39,C12667,C05903
40,C12668,C05903
41,C12637,C05903
42,C12633,C05903
43,C11620,C05903
44,C12628,C01477
45,C12629,C01477
46,C12627,C01477
47,C12632,C01477
48,C04900,C01477
49,C12630,C01477
51,C16490,C05903
52,C16911,C05903
53,C01750,C05903
54,C19796,C05903
55,C21833,C05903
56,C21854,C05903
